ID,route_id,vehicle_number,vehicle_code,vehicle_total_weight_kg,vehicle_total_volume_m3,vehicle_fixed_cost_km,vehicle_variable_cost_km,vehicle_available_time_from_min,vehicle_available_time_to_min,result_vehicle_total_driving_time_min,result_vehicle_total_delivery_time_min,result_vehicle_total_active_time_min,result_vehicle_driving_weight_kg,result_vehicle_driving_volume_m3,result_vehicle_final_cost_km,weightusage,volumeusage
1,2946091,1,J92-T-826,1058,3.15,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2946091,2,A69-O-649,1216,4.0,0,0.19,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2946091,3,875-M-523,12509,20.84,0,0.51,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2946091,4,O76-T-703,7271,15.5,0,0.22,420,1080,131.395,265.46,396.855,2004.460943,15.066668,25.10244,27.57,97.2
5,2946091,5,O76-T-702,7271,15.5,0,0.22,420,1080,150.502,384.02,534.522,2404.2142445,14.781528,26.97926,33.07,95.36
6,2946091,6,A08-J-522,2062,5.5,0,0.19,420,1080,185.097,298.75,483.847,938.3948045,3.09396,31.00363,45.51,56.25
7,2946091,7,O78-K-074,2062,5.0,0,0.2,420,1080,135.96,234.26,370.22,1093.608473,3.559708,16.1542,53.04,71.19
8,2946091,8,T14-E-264,1754,8.02,0,0.19,420,1080,159.302,253.84,413.142,1310.428504,5.930504,25.60896,74.71,73.95
9,2922001,1,J92-T-826,1058,3.15,0,0.2,420,1080,49.0379999999999,164.17,213.208,866.4927245,2.86226,8.7002,81.9,90.87
10,2922001,2,A69-O-649,1216,4.0,0,0.19,420,1080,105.677,251.3,356.977,773.217605,2.923252,16.60258,63.59,73.08
11,2922001,3,875-M-523,12509,20.84,0,0.51,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2922001,4,O76-T-703,7271,15.5,0,0.22,420,1080,292.369,305.63,597.999,1890.241,8.016168,60.05736,26.0,51.72
13,2922001,5,O76-T-702,7271,15.5,0,0.22,420,1080,107.481,388.1,495.581,2828.4936815,13.541708,19.42886,38.9,87.37
14,2922001,6,A08-J-522,2062,5.5,0,0.19,420,1080,110.99,333.47,444.46,1788.3829905,5.14226,16.3115,86.73,93.5
15,2922001,7,O78-K-074,2062,5.0,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2922001,8,T14-E-264,1754,8.02,0,0.19,420,1080,296.186,311.84,608.026,1660.003111,5.34874,53.06662,94.64,66.69
17,2939484,1,J92-T-826,1058,3.15,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2939484,2,A69-O-649,1216,4.0,0,0.19,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2939484,3,875-M-523,12509,20.84,0,0.51,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2939484,4,O76-T-703,7271,15.5,0,0.22,420,1080,294.459,323.07,617.529,1821.037437,12.334512,56.95404,25.05,79.58
21,2939484,5,O76-T-702,7271,15.5,0,0.22,420,1080,238.942,348.82,587.762,2379.067771,7.295304,46.67476,32.72,47.07
22,2939484,6,A08-J-522,2062,5.5,0,0.19,420,1080,119.152,264.67,383.822,1338.860268,4.904584,18.79347,64.93,89.17
23,2939484,7,O78-K-074,2062,5.0,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2939484,8,T14-E-264,1754,8.02,0,0.19,420,1080,271.931,249.43,521.361,1320.052576,6.024904,44.13434,75.26,75.12
25,2958047,1,J92-T-826,1058,3.15,0,0.2,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2958047,2,A69-O-649,1216,4.0,0,0.19,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2958047,3,875-M-523,12509,20.84,0,0.51,420,1080,54.1860000000001,188.44,242.626,1891.0503,18.59112,23.14176,15.12,89.21
28,2958047,4,O76-T-703,7271,15.5,0,0.22,420,1080,163.009,339.85,502.859,1565.746977,15.341036,29.24306,21.53,98.97
29,2958047,5,O76-T-702,7271,15.5,0,0.22,420,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2958047,6,A08-J-522,2062,5.5,0,0.19,420,1080,186.274,289.17,475.444,1998.814764,4.99064,27.82645,96.94,90.74
